f,g,f_no_neg,g_no_neg,alpha,beta,gamma,n,k_gamma0,k_gamma,d0,d,ratio0,ratio
x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,x^6*y+x^3*y^3+1,x^2+x+y^3,7,3,1,42,4,4,7,6,4.67,3.43
x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,x^6*y+x^3*y^3+1,x^2+x+y^3,7,3,2,42,4,4,7,7,4.67,4.67
x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,x^6*y+x^3*y^3+1,x^2+x+y^3,7,3,6,42,4,4,7,6,4.67,3.43
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,-6,42,4,4,7,7,4.67,4.67
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,-5,42,4,4,7,7,4.67,4.67
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,-4,42,4,4,7,5,4.67,2.38
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,-1,42,4,4,7,7,4.67,4.67
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,0,42,4,4,7,7,4.67,4.67
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,1,42,4,4,7,7,4.67,4.67
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,2,42,4,4,7,7,4.67,4.67
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,3,42,4,4,7,5,4.67,2.38
x*y^-3 + 1 + x^-1*y^-3,1 + y^-1 + x^-3*y^2,x^2+x*y^3+1,x^3*y+x^3+y^3,7,3,6,42,4,4,7,7,4.67,4.67
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,1,21,0,42,4,4,4,4,1.52,1.52
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,-6,42,4,4,6,6,3.43,3.43
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,-5,42,4,4,6,6,3.43,3.43
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,-4,42,4,4,6,4,3.43,1.52
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,-3,42,4,4,6,8,3.43,6.10
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,-2,42,4,4,6,8,3.43,6.10
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,-1,42,4,4,6,2,3.43,0.38
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,0,42,4,4,6,6,3.43,3.43
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,1,42,4,4,6,6,3.43,3.43
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,2,42,4,4,6,6,3.43,3.43
1 + x^-1*y + x^-2*y^3,x^2*y^-3 + 1 + x^-2*y^-1,x^2+x*y+y^3,x^4+x^2*y^3+y^2,7,3,3,42,4,4,6,4,3.43,1.52
